,Brand,Model,Power,Price,Seller
0,DAIKIN,ERLQ004CV3/EHBX04C3V,4.0,508800.0,ACS
3,DAIKIN,ERLQ011CV3/EHBX11C9W,11.0,625852.0,ACS
4,DAIKIN,ERLQ011CV3/EHVH11S26CB9W,11.0,800246.0,ACS
5,DAIKIN,ERLQ014CV3/EHBX16C3V,14.0,874944.0,ACS
7,DAIKIN,ERLQ014CV3/EHVX16S18C3V,14.0,1023744.0,ACS
8,DAIKIN,ERLQ016CV3/EHBH16CB9W,16.0,851880.0,ACS
11,DAIKIN,ERLQ016CV3/EHVX16S26C9W,16.0,1080288.0,ACS
15,DAIKIN,ERGA04DV/EHVX04S23D3,,389856.0,ACS
17,DAIKIN,ERGA08DV/EHBH08D6V,,638947.0,ACS
18,DAIKIN,EBLQ011BB6V3,11.0,892800.0,ACS
21,DAIKIN,EBLQ05CV3,,327360.0,ACS
25,DAIKIN,200AV3,,252049.0,ACS
26,DAIKIN,260AV3,,275394.0,ACS
27,DAIKIN,260PAV3,,287006.0,ACS
28,FUJITSU,WOYA060LDC/WGYA050DD6,6.0,610080.0,ACS
29,FUJITSU,WOYA060LDC/WGYA100DD6,6.0,668112.0,ACS
30,FUJITSU,WOYA060LDC/WSYA050DD6,6.0,362998.0,ACS
31,FUJITSU,WOYA060LDC/WSYA100DD6,6.0,421848.0,ACS
32,FUJITSU,WOYA080LDC/WGYA100DD6,8.0,696999.0,ACS
33,FUJITSU,WOYA080LDC/WSYA100DD6,8.0,479200.0,ACS
34,FUJITSU,WOYA100LDT/WGYA100DD6,10.0,718999.0,ACS
35,FUJITSU,WOYA100LDT/WSYA100DD6,10.0,508196.0,ACS
36,FUJITSU,WOYG112LCT/WGYG140DD6,11.0,754996.0,ACS
37,FUJITSU,WOYG112LCT/WSYG140DC6,11.0,595299.0,ACS
38,FUJITSU,WOYG140LCT/WGYG140DD6,14.0,827997.0,ACS
39,FUJITSU,WOYG140LCT/WSYG140DC6,14.0,653398.0,ACS
40,FUJITSU,WOYK112LCT/WGYK160DD9,14.0,641299.0,ACS
41,FUJITSU,WOYK140LCT/WGYK160DD9,14.0,770040.0,ACS
42,FUJITSU,WOYK160LCT/WGYK160DD9,14.0,857088.0,ACS
43,FUJITSU,WOYK160LCT/WSYK160DC9,14.0,718699.0,ACS
44,FUJITSU,WOYA100LFTA,10.0,477796.0,ACS
45,FUJITSU,WOYA160LCTA,16.0,714240.0,ACS
46,GORENJE,100,10.0,122590.0,ACS
47,GORENJE,80,8.0,117000.0,ACS
48,GORENJE,200,20.0,129990.0,ACS
49,GREE,GRS-CQ10Pd/NaB-K(O)/(I),10.0,613204.0,ACS
50,GREE,GRS-CQ16Pd/NaB-M(O)/(I),16.0,639840.0,ACS
51,GREE,GRS-CQ8.0Pd/NaE-K(O)/(I),8.0,399999.0,ACS
52,HOKKAIDO,12-162X(Toplotne,6.0,677040.0,ACS
53,HOKKAIDO,12-162X(Toplotne,6.0,681504.0,ACS
54,HOKKAIDO,1001,10.0,543120.0,ACS
55,HOKKAIDO,1201,12.0,555024.0,ACS
56,HOKKAIDO,501,6.0,337776.0,ACS
57,HOKKAIDO,701,8.0,369024.0,ACS
58,HOKKAIDO,1201,12.0,569904.0,ACS
59,HOKKAIDO,1401,14.0,596688.0,ACS
60,HOKKAIDO,1601,6.0,620496.0,ACS
61,HOKKAIDO,1002,10.0,369989.0,ACS
62,HOKKAIDO,1202,12.0,369989.0,ACS
63,HOKKAIDO,602,6.0,440448.0,ACS
64,HOKKAIDO,802,8.0,467232.0,ACS
65,HOKKAIDO,2201,2.0,242544.0,ACS
66,HOKKAIDO,2301,2.0,279744.0,ACS
72,MITSUBISHI,FDCW100VNX-A_HMK100,10.0,775248.0,ACS
73,MITSUBISHI,FDCW100VNX-A_HSB100_RC-HY20,10.0,714240.0,ACS
74,MITSUBISHI,FDCW100VNX-A_HSB100_RC-HY20_PT300,10.0,858576.0,ACS
75,MITSUBISHI,FDCW140VNX-A_HSB140_RC-HY20,14.0,843696.0,ACS
76,MITSUBISHI,FDCW140VNX-A_HSB140_RC-HY20_PT300,14.0,988032.0,ACS
