,Brand,Model,Power,Price,Seller
0,Vaillant,,,,Gas_Lider
1,Vaillant,35/5,4,"406.130,00",Gas_Lider
2,Vaillant,55/5,6,"416.850,00",Gas_Lider
3,Vaillant,75/5,8,"460.520,00",Gas_Lider
4,Vaillant,105/5,10,"606.780,00",Gas_Lider
5,Vaillant,105/5,10,"617.590,00",Gas_Lider
6,Vaillant,125/5,12,"638.710,00",Gas_Lider
7,Vaillant,125/5,12,"649.730,00",Gas_Lider
8,Vaillant,57/5,,"191.170,00",Gas_Lider
9,Vaillant,75/5,8,"194.060,00",Gas_Lider
10,Vaillant,127/5,,"209.510,00",Gas_Lider
11,Vaillant,58/5,,"326.000,00",Gas_Lider
12,Vaillant,78/5,,"326.000,00",Gas_Lider
13,Vaillant,128/5,,"332.280,00",Gas_Lider
